+ sensor,status,D13

: 0, sensor, 0
: 10000000, sensor, 1
: 20000000, sensor, 0
: 30000000, sensor, 1
: 40000000, sensor, 0
: 50000000, sensor, 1
: 60000000, sensor, 0
: 70000000, sensor, 1
: 80000000, sensor, 0
: 90000000, sensor, 1
: 100000000, sensor, 0
: 110000000, sensor, 1
: 120000000, sensor, 0
: 130000000, sensor, 1
: 140000000, sensor, 0
: 150000000, sensor, 1
: 160000000, sensor, 0
: 170000000, sensor, 1
: 180000000, sensor, 0
: 190000000, sensor, 1
: 200000000, sensor, 0
: 210000000, sensor, 1
: 220000000, sensor, 0
: 230000000, sensor, 1
: 240000000, sensor, 0
: 250000000, sensor, 1
: 260000000, sensor, 0
: 270000000, sensor, 1
: 280000000, sensor, 0
: 290000000, sensor, 1
: 300000000, sensor, 0
: 310000000, sensor, 1
: 320000000, sensor, 0
: 330000000, sensor, 1
: 340000000, sensor, 0
: 350000000, sensor, 1
: 360000000, sensor, 0
: 370000000, sensor, 1
: 380000000, sensor, 0
: 390000000, sensor, 1
: 400000000, sensor, 0
: 410000000, sensor, 1
: 420000000, sensor, 0
: 430000000, sensor, 1
: 440000000, sensor, 0
: 450000000, sensor, 1
: 460000000, sensor, 0
: 470000000, sensor, 1
: 480000000, sensor, 0
: 490000000, sensor, 1
: 500000000, sensor, 0
: 510000000, sensor, 1
: 520000000, sensor, 0
: 530000000, sensor, 1
: 540000000, sensor, 0
: 550000000, sensor, 1
: 560000000, sensor, 0
: 570000000, sensor, 1
: 580000000, sensor, 0
: 590000000, sensor, 1
: 600000000, sensor, 0
: 610000000, sensor, 1
: 620000000, sensor, 0
: 630000000, sensor, 1
: 640000000, sensor, 0
: 650000000, sensor, 1
: 660000000, sensor, 0
: 670000000, sensor, 1
: 680000000, sensor, 0
: 690000000, sensor, 1
: 700000000, sensor, 0
: 710000000, sensor, 1
: 720000000, sensor, 0
: 730000000, sensor, 1
: 740000000, sensor, 0
: 750000000, sensor, 1
: 760000000, sensor, 0
: 770000000, sensor, 1
: 780000000, sensor, 0
: 790000000, sensor, 1
: 800000000, sensor, 0
: 810000000, sensor, 1
: 820000000, sensor, 0
: 830000000, sensor, 1
: 840000000, sensor, 0
: 850000000, sensor, 1
: 860000000, sensor, 0
: 870000000, sensor, 1
: 880000000, sensor, 0
: 890000000, sensor, 1
: 900000000, sensor, 0
: 910000000, sensor, 1
: 920000000, sensor, 0
: 930000000, sensor, 1
: 940000000, sensor, 0
: 950000000, sensor, 1
: 960000000, sensor, 0
: 970000000, sensor, 1
: 980000000, sensor, 0
: 990000000, sensor, 1
: 1000000000, sensor, 0
: 1010000000, sensor, 1
: 1020000000, sensor, 0
: 1030000000, sensor, 1
: 1040000000, sensor, 0
: 1050000000, sensor, 1
: 1060000000, sensor, 0
: 1070000000, sensor, 1
: 1080000000, sensor, 0
: 1090000000, sensor, 1
: 1100000000, sensor, 0
: 1110000000, sensor, 1
: 1120000000, sensor, 0
: 1130000000, sensor, 1
: 1140000000, sensor, 0
: 1150000000, sensor, 1
: 1160000000, sensor, 0
: 1170000000, sensor, 1
: 1180000000, sensor, 0
: 1190000000, sensor, 1
: 1200000000, sensor, 0
: 1210000000, sensor, 1
: 1220000000, sensor, 0
: 1230000000, sensor, 1
: 1240000000, sensor, 0
: 1250000000, sensor, 1
: 1260000000, sensor, 0
: 1270000000, sensor, 1
: 1280000000, sensor, 0
: 1290000000, sensor, 1
: 1300000000, sensor, 0
: 1310000000, sensor, 1
: 1320000000, sensor, 0
: 1330000000, sensor, 1
: 1340000000, sensor, 0
: 1350000000, sensor, 1
: 1360000000, sensor, 0
: 1370000000, sensor, 1
: 1380000000, sensor, 0
: 1390000000, sensor, 1
: 1400000000, sensor, 0
: 1410000000, sensor, 1
: 1420000000, sensor, 0
: 1430000000, sensor, 1
: 1440000000, sensor, 0
: 1450000000, sensor, 1
: 1460000000, sensor, 0
: 1470000000, sensor, 1
: 1480000000, sensor, 0
: 1490000000, sensor, 1
: 1500000000, sensor, 0
: 1510000000, sensor, 1
: 1520000000, sensor, 0
: 1530000000, sensor, 1
: 1540000000, sensor, 0
: 1550000000, sensor, 1
: 1560000000, sensor, 0
: 1570000000, sensor, 1
: 1580000000, sensor, 0
: 1590000000, sensor, 1
: 1600000000, sensor, 0
: 1610000000, sensor, 1
: 1620000000, sensor, 0
: 1630000000, sensor, 1
: 1640000000, sensor, 0
: 1650000000, sensor, 1
: 1660000000, sensor, 0
: 1670000000, sensor, 1
: 1680000000, sensor, 0
: 1690000000, sensor, 1
: 1700000000, sensor, 0
: 1710000000, sensor, 1
: 1720000000, sensor, 0
: 1730000000, sensor, 1
: 1740000000, sensor, 0
: 1750000000, sensor, 1
: 1760000000, sensor, 0
: 1770000000, sensor, 1
: 1780000000, sensor, 0
: 1790000000, sensor, 1
: 1800000000, sensor, 0
: 1810000000, sensor, 1
: 1820000000, sensor, 0
: 1830000000, sensor, 1
